;Site;Auteur;dateComm;dateSejour;Localisation;Note;Titre;Avis
0;Disney Hotel New York - The Art of Marvel;loane;decembre 2022;septembre 2016;Moulis-en-Medoc France;4;très bel endroit mais il faut aller dans le détail au vue du prix;surprise de voir où j’ai débarqué l’architecture est magnifique, on se sent vraiment dans un building new yorkais, peut être qu’un peu plus de l’univers marvel aurait été le bien venue, il y a quelques posters dans les couloirsla chambre est spacieuse (deux lits doubles pour 2 adultes 2 enfants) une télé est incrustée dans le miroir (la classe) une machine à café avec du café du thé et de l’eau (deux bouteilles pour 4) un frigo (vide dommage) et une grande salle de bain (avec les toilettes dedans)on a été prendre le petit déjeuner à manatthan les serveurs sont aux petits soins les produits sont frais il y a beaucoup de choix (même des gâteaux sans gluten !!)et on a testé le bar sky line (4 chocolats chaud à l’eau) qui a aussi un personnel sympathique
1;Disney Hotel New York - The Art of Marvel;Mag;decembre 2022;septembre 2016;;3;Très déçus....;Nous avons séjourné dans cet hôtel la nuit du 25 décembre et nous en repartons en parti déçus...Le hall de l'hôtel est très beau, grand, haut.L'accueil est quelconque, pas d'attention particulière, la juste politesse, il manque des informations sur les services...La chambre est en dessous de ce qu'on peut attendre pour un 4 étoiles, même si elle est très belle : lits en 140 alors que les chambres ont été rénové il y a 1 an! Salle de bain digne d'un hôtel standard baignoire-douche minuscule, WC dans la salle de bain. Il devait y avoir une porte au niveau des WC mais celle ci a été cassée donc enlevée, il manque donc un carreau sur la plinthe.Une cafetière et une bouilloire avec quelques dossettes de café et thé vous attendent ainsi que 2 bouteilles d'eau. C'est tout, le bar est vide, pas de boisson pour les enfants au prix de la chambre...Les 2 bars de l'hôtel sont au rez-de-chaussée et sont trop petits pour le monde qui souhaitent s'y rendre, il faudra faire la queue surtout au sky line. Nous avons testé le 2ème, personnel très gentil et agréable.Nous avons fini notre journée, après le parc, dans la piscine de l'hôtel avec sauna et jacuzzi 👌Le petit-déjeuner est vraiment à la hauteur, la salle du restaurant Manhattan est magnifique ! Le personnel au petit soin et le choix est au rendez-vous.Si nous revenons à Disneyland nous ne séjournerons pas dans cet hôtel au rapport qualité prix injustifié pour nous.
2;Disney Hotel New York - The Art of Marvel;François J;decembre 2022;septembre 2016;Annecy France;1;Le business model parfait;Surbooking dans tous les restaurants, temps d'attente inadmissible, il y a 85db dans le restaurant si vous voulez avoir l'impression de manger sur aire d'autoroute allez y ! On voit tout le concept marketing dans ce restaurant faire tourner à 200% l'infrastructure au détriment du bien être des clients... Bravo belle réussite👌👍💪👏 à fuire
3;Disney Hotel New York - The Art of Marvel;cocolou18;decembre 2022;septembre 2016;Charnay France;5;Très bien;Très bon hôtel accueil chambre p’tit dej parfait juste un bémol très mal expliqué quand on a la pension complète extra plus a quoi on a droit un cocktail était offert on nous l’a pris sur notre magic pass un peut l’arnaque les goûter on c’est pas ou il faut aller !!On c’est fait piquer la poussette alors qu’on est à l’hôtel même ça on nous le dis pas sinon c’était top
4;Disney Hotel New York - The Art of Marvel;Alex;decembre 2022;septembre 2016;Haute-Savoie France;5;Géniale;Tres belle décoration/rénovation. Un staff d une gentillesse exemplaire que cela soit à la réception, au bar, au restaurants tout comme au parcs. Nous avons passé un excellent séjour au parc et à l hôtel. Super petit déjeuné et buffet ou menu de grande qualité.Le lieu pour les photos avec les super héros est vraiment sympa et les œuvres Marvel sont vraiment toutes époustouflantes.Excellente literie, chambre spacieuse et dans notre cas superbe vue sur le lac et le jardin.En résumé rien à redire, une seule envie c’est d y retourner.
5;Disney Hotel New York - The Art of Marvel;Snt;decembre 2022;septembre 2016;Amneville France;4;Le rêve pour les enfants;Très bel hôtel, très bien décoré depuis sa rénovation l’année dernière. Tout était parfait. Même les chambres sont spacieuses. Le seul bémol est le prix sa pique quand tu viens à 2 adultes et 3 enfants mais bon pour faire rêver les petits . Je vous remercie de l’accueil reçu. A très vite.
6;Disney Hotel New York - The Art of Marvel;Benoit6287;decembre 2022;septembre 2016;Lille France;5;Magnifiques souvenirs;Nous avons passé un WK dans ce maginifique Hôtel. Accueil au top, toujours le sourire des c’est member avec le soucis du bien être des clients  L’hôtel en lui même est juste superbe, tout est décoré avec goût, les enfants ainsi que les parents ont été émerveillés. La qualité de la restauration au top!! Nous n’avons pas profité de la piscine mais je suis sur que cela est un petit plus  Trés grand parking et surtout de nombreuses places pour voitures électriques, juste génial!  La chambre bien spacieuse avec une trés bonne literie. Nous avons adoré la télé incrustée dans le miroir!!  Je recommande vivement cet hôtel et nous reviendrons à coups sûrs
7;Disney Hotel New York - The Art of Marvel;Eric;decembre 2022;septembre 2016;Parmain France;4;Très bel hôtel, au design marvelien.;Belle chambre spacieuse avec une literie vraiment très confortable.  Petit- déjeuner varié et très bon (sucré, salé, plats préparés sur demande).  Hôtel très bien situé pour profiter pleinement des parcs (5 min à pieds, en traversant Disney village).  Attention à quelques détails: miroir/TV poussiéreux, bonde de douche mal nettoyée.
8;Disney Hotel New York - The Art of Marvel;wmichael1;decembre 2022;septembre 2016;Valenciennes France;5;Super hôtel dans le thème Marvel à Disneyland Paris;Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café, bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil, la boutique, bagagerie au top très serviable et aimable au petit soin avec nous.
9;Disney Hotel New York - The Art of Marvel;cdelp62100;novembre 2022;septembre 2016;;4;Je m'attendais à mieux...;Un peu déçue de l'hôtel. Très belles chambres, literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus, aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.
10;Disney Hotel New York - The Art of Marvel;Marion P;novembre 2022;septembre 2016;;4;Ravie;Nous avons vraiment apprécié notre nuit dans cet hôtel, les chambres sont comme sur les photos.  Le miroir qui en fait est une télé, trop classe, les lits sont super confortables. L hôtel est juste magnifique avec à chaque étage un personnage Marvel.   J ai pas mis 5 étoiles, car je trouve que vu le prix que nous payons, nous pourrions au moins avoir le petit déjeuner compris ( ne serais ce qu un simple buffet à volonté avec des viennoiseries), mais au moins dans les chambres nous avons du café à disposition, C est déjà ça.   En tout cas nous resterons enchanté de notre séjour. 
11;Disney Hotel New York - The Art of Marvel;Jennifer S;novembre 2022;septembre 2016;Calvi France;3;Avis mitigé;Bel hôtel neuf et magique aux yeux de nos enfants  mais en regardant de plus près surtout vu le prix en supérieur pour 3 nuits , les chambres ne sont pas faites correctement ( linge sale taché oublié dans notre chambre , bouteille d’eau de bienvenue le 1 er jour mais pas les jours suivants , capsules de café pas remplacer , serviette de bain sale pas changé mais repliée pour faire croire que .. Les lits sont en 140 et heureusement qu’on est assez fins  Faire la queue pour boire un coup au bar c’est pas super après une journée éreintante aux parcs  Resto , self ou petit dej …. Comme partout dans Disney moyen moyen
12;Disney Hotel New York - The Art of Marvel;poutyx;novembre 2022;septembre 2016;Toulouse France;5;FABULEUX;Superbe accueil des castmembers que ce soit à la réception, la conciergerie, la bagagerie ou dans les restaurants. L’hôtel est magnifiquement rénové, le hall d’entrée est juste wawhou, on en prend plein les yeux et le nez (j’adore le parfum d’ambiance diffusé!). Je disposais d’une chambre avec un grand lit double, très jolie, très propre et très grande, avec tout le confort nécessaire. La TV intégrée dans le miroir est super chouette. J’ai aimé la vue de ma chambre sur le lac, la proximité de l’hôtel avec Disney Village et les parcs. J’ai pu profiter d’une expérience au bar Skyline et au restaurant Manhattan. Je suis désolée, je ne trouve pas de points négatifs, tout était parfait ! Chambre 5240.
13;Disney Hotel New York - The Art of Marvel;MILOCHE1978;novembre 2022;septembre 2016;Paris France;1;Inacceptable;Lors de la réservation j avais demandé des chambres communicantes l agent de resa m a dit que ce n était pas possible car j avais réservé une chambre supérieure et une chambre supérieure vue jardin (plus cher). Elle m a confirmé que si je prenais deux chambres supérieures vue jardin ce serait possible ce que j ai fait. A l arrivée quelle fut ma déception quand je me suis aperçue que je n avais pas de chambres communicantes. De plus une des deux chambres n avait pas accès à la télé.dans l autre il manquait le robinet d eau chaude. Nous avons dû appeler le service technique à 22h qui a dû intervenir 3 fois. Résultat à 7h c était toujours le même problème le robinet d eau chaude tournait dans le vide. Enfin dans l une des deux chambres il y avait des macarons et pas dans l autre…
14;Disney Hotel New York - The Art of Marvel;Fabrice75019;novembre 2022;septembre 2016;Paris France;4;MARVELIFIQUE !;"Petits soucis avec mon Magic Pass où il manquait deux coupons repas  inclus dans la pension complète. Perte de temps à la réception ou j'ai du y retourner 2 fois car le personnel ne comprenait vraisemblablement pas très bien le principe des Voucher ""pension complète"" pour deux personnes sur deux jours, ce qui fait entre autres 8 repas et non 6.  La chambre très agréable, bien qu'il manquait les peignoirs et les chaussons qu'il a fallu réclamer.  La boutique, la conciergerie et l'ensemble du personnel sont très accueillants et bienveillants dans l'ensemble. Magnifique piscine pour se détendre, accueil sympathique. Le + étant le restaurant Manhattan, malgré l'attente trop longue à l'entrée le soir, cadre magnifique, nourriture italienne raffinée, personnel pro. Les petits…"
15;Disney Hotel New York - The Art of Marvel;Davy B;novembre 2022;septembre 2016;Villiers-sur-Marne France;4;Évitez d'être au dessus des restaurants;Hôtel situé à 10 min à pied des parcs Disney et Studio.  Il est magnifiquement décoré,le personnel est chaleureux, les chambres propres et spatieuses. Les enfants ont adoré. Gros bémol, les chambres situées au dessus des restaurants sont mal insonorisées, les bruits de chaises dès 7h sont horribles.
16;Disney Hotel New York - The Art of Marvel;Pioneer689699;novembre 2022;septembre 2016;;3;Deception;Bonjour Un peu déçue par l'hôtel qui est je trouve froid  Le personnel était également froid  Je suis allée dans deux autres hôtels à Disney  et ils étaient beaucoup plus chaleureux et cosy  La chambre était bruyante bruits de chaises de pas donc mal insonorisée Dommage pour nous  
17;Disney Hotel New York - The Art of Marvel;Amélie A;octobre 2022;septembre 2016;;3;Ne mérite pas ses 4 étoiles ;Hôtel refait à neuf et pourtant déjà en si mauvais état. Le miroir de la salle de bain tombe en ruine, les montants de porte cassés, la vitre de la fenêtre brisée, la télé et le téléphone en panne. Le lit parapluie demande par mail oublié à notre arrivée. nous avons du attendre 1 heure pour en récupérer un. Il était 23h30 quand nous vous pu coucher notre bébé.Les lits sont des 140 cm seulement. Comment cela est il possible dans un 4 étoiles ? Nous attendons encore les petites attentions promises pour nos 3 enfants. Petit déjeuner excellent. Nous avons eu à faire des jeunes femmes très aimables à l accueil et au petit déjeuner mais fort désagréable à la conciergerie. Si vous n aimez pas votre travail changez en. Bref un établissement qui ne vaut ses 4 étoiles que par le tarif.
