pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Valenciennes France,Super hôtel dans le thème Marvel à Disneyland Paris,5,Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil la boutique bagagerie au top très serviable et aimable au petit soin avec nous.,Date du séjour : décembre 2022,Type de voyage : A voyagé en famille,wmichael1 a écrit un avis (11 déc.),True
,Je m'attendais à mieux...,4,Un peu déçue de l'hôtel. Très belles chambres literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.,Date du séjour : novembre 2022,Type de voyage : A voyagé en famille,cdelp62100 a écrit un avis (nov. 2022),False
,Ravie,4,Nous avons vraiment apprécié notre nuit dans cet hôtel les chambres sont comme sur les photos.  Le miroir qui en fait est une télé trop classe les lits sont super confortables. L hôtel est juste magnifique avec à chaque étage un personnage Marvel.   J ai pas mis 5 étoiles car je trouve que vu le prix que nous payons nous pourrions au moins avoir le petit déjeuner compris ( ne serais ce qu un simple buffet à volonté avec des viennoiseries) mais au moins dans les chambres nous avons du café à disposition C est déjà ça.   En tout cas nous resterons enchanté de notre séjour. ,Date du séjour : novembre 2022,,Marion P a écrit un avis (nov. 2022),False
Calvi France,Avis mitigé,3,Bel hôtel neuf et magique aux yeux de nos enfants  mais en regardant de plus près surtout vu le prix en supérieur pour 3 nuits  les chambres ne sont pas faites correctement ( linge sale taché oublié dans notre chambre  bouteille d’eau de bienvenue le 1 er jour mais pas les jours suivants  capsules de café pas remplacer  serviette de bain sale pas changé mais repliée pour faire croire que .. Les lits sont en 140 et heureusement qu’on est assez fins  Faire la queue pour boire un coup au bar c’est pas super après une journée éreintante aux parcs  Resto  self ou petit dej …. Comme partout dans Disney moyen moyen,Date du séjour : novembre 2022,Type de voyage : A voyagé en famille,Jennifer S a écrit un avis (nov. 2022),False
Toulouse France,FABULEUX,5,Superbe accueil des castmembers que ce soit à la réception la conciergerie la bagagerie ou dans les restaurants. L’hôtel est magnifiquement rénové le hall d’entrée est juste wawhou on en prend plein les yeux et le nez (j’adore le parfum d’ambiance diffusé!). Je disposais d’une chambre avec un grand lit double très jolie très propre et très grande avec tout le confort nécessaire. La TV intégrée dans le miroir est super chouette. J’ai aimé la vue de ma chambre sur le lac la proximité de l’hôtel avec Disney Village et les parcs. J’ai pu profiter d’une expérience au bar Skyline et au restaurant Manhattan. Je suis désolée je ne trouve pas de points négatifs tout était parfait ! Chambre 5240.,Date du séjour : novembre 2022,Type de voyage : A voyagé en couple,poutyx a écrit un avis (nov. 2022),True
Paris France,Inacceptable,1,Lors de la réservation j avais demandé des chambres communicantes l agent de resa m a dit que ce n était pas possible car j avais réservé une chambre supérieure et une chambre supérieure vue jardin (plus cher). Elle m a confirmé que si je prenais deux chambres supérieures vue jardin ce serait possible ce que j ai fait. A l arrivée quelle fut ma déception quand je me suis aperçue que je n avais pas de chambres communicantes. De plus une des deux chambres n avait pas accès à la télé.dans l autre il manquait le robinet d eau chaude. Nous avons dû appeler le service technique à 22h qui a dû intervenir 3 fois. Résultat à 7h c était toujours le même problème le robinet d eau chaude tournait dans le vide. Enfin dans l une des deux chambres il y avait des macarons et pas dans l autre…,Date du séjour : novembre 2022,,MILOCHE1978 a écrit un avis (nov. 2022),True
Paris France,MARVELIFIQUE !,4,"Petits soucis avec mon Magic Pass où il manquait deux coupons repas  inclus dans la pension complète. Perte de temps à la réception ou j'ai du y retourner 2 fois car le personnel ne comprenait vraisemblablement pas très bien le principe des Voucher ""pension complète"" pour deux personnes sur deux jours ce qui fait entre autres 8 repas et non 6.  La chambre très agréable bien qu'il manquait les peignoirs et les chaussons qu'il a fallu réclamer.  La boutique la conciergerie et l'ensemble du personnel sont très accueillants et bienveillants dans l'ensemble. Magnifique piscine pour se détendre accueil sympathique. Le + étant le restaurant Manhattan malgré l'attente trop longue à l'entrée le soir cadre magnifique nourriture italienne raffinée personnel pro. Les petits…",Date du séjour : novembre 2022,,Fabrice75019 a écrit un avis (nov. 2022),True
Villiers-sur-Marne France,Évitez d'être au dessus des restaurants,4,Hôtel situé à 10 min à pied des parcs Disney et Studio.  Il est magnifiquement décoréle personnel est chaleureux les chambres propres et spatieuses. Les enfants ont adoré. Gros bémol les chambres situées au dessus des restaurants sont mal insonorisées les bruits de chaises dès 7h sont horribles.,Date du séjour : novembre 2022,,Davy B a écrit un avis (nov. 2022),False
,Deception,3,Bonjour Un peu déçue par l'hôtel qui est je trouve froid  Le personnel était également froid  Je suis allée dans deux autres hôtels à Disney  et ils étaient beaucoup plus chaleureux et cosy  La chambre était bruyante bruits de chaises de pas donc mal insonorisée Dommage pour nous  ,Date du séjour : novembre 2022,,Pioneer689699 a écrit un avis (nov. 2022),False
,Ne mérite pas ses 4 étoiles ,3,Hôtel refait à neuf et pourtant déjà en si mauvais état. Le miroir de la salle de bain tombe en ruine les montants de porte cassés la vitre de la fenêtre brisée la télé et le téléphone en panne. Le lit parapluie demande par mail oublié à notre arrivée. nous avons du attendre 1 heure pour en récupérer un. Il était 23h30 quand nous vous pu coucher notre bébé.Les lits sont des 140 cm seulement. Comment cela est il possible dans un 4 étoiles ? Nous attendons encore les petites attentions promises pour nos 3 enfants. Petit déjeuner excellent. Nous avons eu à faire des jeunes femmes très aimables à l accueil et au petit déjeuner mais fort désagréable à la conciergerie. Si vous n aimez pas votre travail changez en. Bref un établissement qui ne vaut ses 4 étoiles que par le tarif.,Date du séjour : octobre 2022,,Amélie A a écrit un avis (oct. 2022),True
