pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Moulis-en-Medoc France,très bel endroit mais il faut aller dans le détail au vue du prix,4,surprise de voir où j’ai débarqué  l’architecture est magnifique on se sent vraiment dans un building new yorkais peut être qu’un peu plus de l’univers marvel aurait été le bien venue il y a quelques posters dans les couloirs la chambre est spacieuse (deux lits doubles pour 2 adultes 2 enfants) une télé est incrustée dans le miroir (la classe) une machine à café avec du café du thé et de l’eau (deux bouteilles pour 4) un frigo (vide dommage) et une grande salle de bain (avec les toilettes dedans) on a été prendre le petit déjeuner à manatthan les serveurs sont aux petits soins les produits sont frais il y a beaucoup de choix (même des gâteaux sans gluten !!) et on a testé le bar sky line (4 chocolats chaud à l’eau) qui a aussi un personnel sympathique,décembre 2022,Type de voyage : A voyagé en famille,loane a écrit un avis (28 déc.),False
,Très déçus....,3,Nous avons séjourné dans cet hôtel la nuit du 25 décembre et nous en repartons en parti déçus... Le hall de l'hôtel est très beau grand haut. L'accueil est quelconque pas d'attention particulière la juste politesse il manque des informations sur les services... La chambre est en dessous de ce qu'on peut attendre pour un 4 étoiles même si elle est très belle : lits en 140 alors que les chambres ont été rénové il y a 1 an! Salle de bain digne d'un hôtel standard baignoire-douche minuscule WC dans la salle de bain. Il devait y avoir une porte au niveau des WC mais celle ci a été cassée donc enlevée il manque donc un carreau sur la plinthe. Une cafetière et une bouilloire avec quelques dossettes de café et thé vous attendent ainsi que 2 bouteilles d'eau. C'est tout le bar est vide pas de boisson pour les enfants au prix de la chambre... Les 2 bars de l'hôtel sont au rez-de-chaussée et sont trop petits pour le monde qui souhaitent s'y rendre il faudra faire la queue surtout au sky line. Nous avons testé le 2ème personnel très gentil et agréable. Nous avons fini notre journée après le parc dans la piscine de l'hôtel avec sauna et jacuzzi 👌 Le petit-déjeuner est vraiment à la hauteur la salle du restaurant Manhattan est magnifique ! Le personnel au petit soin et le choix est au rendez-vous. Si nous revenons à Disneyland nous ne séjournerons pas dans cet hôtel au rapport qualité prix injustifié pour nous.…,décembre 2022,Type de voyage : A voyagé en famille,Mag a écrit un avis (28 déc.),False
Annecy France,Le business model parfait,1,Surbooking dans tous les restaurants temps d'attente inadmissible il y a 85db dans le restaurant si vous voulez avoir l'impression de manger sur aire d'autoroute allez y ! On voit tout le concept marketing dans ce restaurant faire tourner à 200% l'infrastructure au détriment du bien être des clients... Bravo belle réussite👌👍💪👏 à fuire,décembre 2022,Type de voyage : A voyagé en famille,François J a écrit un avis (24 déc.),False
Charnay France,Très bien,5,Très bon hôtel accueil chambre p’tit dej parfait juste un bémol très mal expliqué quand on a la pension complète extra plus a quoi on a droit un cocktail était offert on nous l’a pris sur notre magic pass un peut l’arnaque les goûter on c’est pas ou il faut aller !! On c’est fait piquer la poussette alors qu’on est à l’hôtel même ça on nous le dis pas sinon c’était top,décembre 2022,Type de voyage : A voyagé en famille,cocolou18 a écrit un avis (24 déc.),True
Haute-Savoie France,Géniale,5,Tres belle décoration/rénovation. Un staff d une gentillesse exemplaire que cela soit à la réception au bar au restaurants tout comme au parcs. Nous avons passé un excellent séjour au parc et à l hôtel. Super petit déjeuné et buffet ou menu de grande qualité.  Le lieu pour les photos avec les super héros est vraiment sympa et les œuvres Marvel sont vraiment toutes époustouflantes.  Excellente literie chambre spacieuse et dans notre cas superbe vue sur le lac et le jardin.  En résumé rien à redire une seule envie c’est d y retourner.,décembre 2022,Type de voyage : A voyagé en famille,Alex a écrit un avis (24 déc.),False
Amneville France,Le rêve pour les enfants,4,Très bel hôtel très bien décoré depuis sa rénovation l’année dernière. Tout était parfait. Même les chambres sont spacieuses. Le seul bémol est le prix sa pique quand tu viens à 2 adultes et 3 enfants mais bon pour faire rêver les petits . Je vous remercie de l’accueil reçu. A très vite.,décembre 2022,,Snt a écrit un avis (21 déc.),True
Lille France,Magnifiques souvenirs,5,Nous avons passé un WK dans ce maginifique Hôtel. Accueil au top toujours le sourire des c’est member avec le soucis du bien être des clients  L’hôtel en lui même est juste superbe tout est décoré avec goût les enfants ainsi que les parents ont été émerveillés. La qualité de la restauration au top!! Nous n’avons pas profité de la piscine mais je suis sur que cela est un petit plus  Trés grand parking et surtout de nombreuses places pour voitures électriques juste génial!  La chambre bien spacieuse avec une trés bonne literie. Nous avons adoré la télé incrustée dans le miroir!!  Je recommande vivement cet hôtel et nous reviendrons à coups sûrs,décembre 2022,,Benoit6287 a écrit un avis (18 déc.),True
Parmain France,Très bel hôtel au design marvelien.,4,Belle chambre spacieuse avec une literie vraiment très confortable.  Petit- déjeuner varié et très bon (sucré salé plats préparés sur demande).  Hôtel très bien situé pour profiter pleinement des parcs (5 min à pieds en traversant Disney village).  Attention à quelques détails: miroir/TV poussiéreux bonde de douche mal nettoyée.,décembre 2022,,Eric a écrit un avis (18 déc.),True
Valenciennes France,Super hôtel dans le thème Marvel à Disneyland Paris,5,Super hôtel dans le thème Marvel avec des décors à couper le souffle  Les chambres spacieuses et bien équipée (machine à café bouilloire pour le thé) et petite attention en souvenir. Le personnel de l’accueil la boutique bagagerie au top très serviable et aimable au petit soin avec nous.,décembre 2022,,wmichael1 a écrit un avis (11 déc.),True
,Je m'attendais à mieux...,4,Un peu déçue de l'hôtel. Très belles chambres literie et personnel top mais petit déjeuner très classique et le côté Marvel est un peu surfait. Je n'ai été ni dépaysée ni charmée comme je l'avais été à  l'hôtel Disneyland. De plus aucune réduction ou fast pass offert. Trop cher par rapport aux prestations.,novembre 2022,,cdelp62100 a écrit un avis (nov. 2022),False
