pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
Annemasse France30 contributions,Vous en aurez PAS pour votre argent !!!,2,Vous en aurez PAS pour votre argent !!!,,,décembre 2022,True
Soignies Belgique1 contribution,Noël,1,Noël,déc. 2022, En famille,décembre 2022,False
1 contribution,Bref,3,Bref,déc. 2022, En famille,décembre 2022,False
Férolles-Attilly France16 contributions,Disneyland Paris le bonheur absolu,5,Disneyland Paris le bonheur absolu,déc. 2022, Entre amis,décembre 2022,False
3 contributions,Toujours aussi magique !,4,Toujours aussi magique !,déc. 2022, En famille,décembre 2022,False
Brive-la-Gaillarde France196 contributions,Retour Disneyland paris en décembre,4,Retour Disneyland paris en décembre,déc. 2022,,décembre 2022,False
1 contribution,Disneyland,1,Disneyland,déc. 2022, En famille,décembre 2022,False
Thonon24 contributions,Un excellent séjour,5,Un excellent séjour,,,décembre 2022,True
Moulis-en-Medoc France5 contributions,bonne expérience mais à améliorer,3,bonne expérience mais à améliorer,,,décembre 2022,False
1 contribution,Trés belles attrations,4,Trés belles attrations,déc. 2022, En famille,décembre 2022,False
1 contribution,Honteuxécœuré et j’en passe..,1,Honteuxécœuré et j’en passe..,,,décembre 2022,False
Saint-Gingolph Suisse1 contribution,Attractions géniales  bonne ambiance belles parades belle magie,5,Attractions géniales  bonne ambiance belles parades belle magie,déc. 2022, En famille,décembre 2022,False
Servon France32 contributions,Beaucoup trop de monde,1,Beaucoup trop de monde,déc. 2022, En famille,décembre 2022,False
Saint-Étienne France1 contribution,Très bien mais un petit Bémol,4,Très bien mais un petit Bémol,déc. 2022, En famille,décembre 2022,False
1 contribution,Magique et extraordinaire,5,Magique et extraordinaire,déc. 2022, En famille,décembre 2022,True
Melun France151 contributions,Absolument nul perte de temps et d'argent,1,Absolument nul perte de temps et d'argent,déc. 2022, En famille,décembre 2022,False
Genève Suisse134 contributions,La magie pour les petits et grands,5,La magie pour les petits et grands,,,décembre 2022,False
Talence France7 contributions,Sejour de Noel,4,Sejour de Noel,déc. 2022, En famille,décembre 2022,False
1 contribution,Ou est la magie ?,2,Ou est la magie ?,déc. 2022, En famille,décembre 2022,False
3 contributions,Disneyland que se passe t’il ?,3,Disneyland que se passe t’il ?,,,décembre 2022,True
Marseille France80 contributions,Parc exceptionnel - rapport qualité / prix restaurant et hôtel a revoir,5,Parc exceptionnel - rapport qualité / prix restaurant et hôtel a revoir,,,décembre 2022,True
Attin France1 contribution,penibilites de la position statique,3,penibilites de la position statique,déc. 2022, Voyage d'affaires,décembre 2022,False
Haute-Savoie France61 contributions,Dépaysant,5,Dépaysant,,,décembre 2022,False
Rixensart Belgique2 contributions,Très cher pour bcp d'attente....,2,Très cher pour bcp d'attente....,déc. 2022, En famille,décembre 2022,False
1 contribution,Disney ca fait rever les enfants,4,Disney ca fait rever les enfants,déc. 2022, En famille,décembre 2022,False
1 contribution,Très déçu,2,Très déçu,déc. 2022, En famille,décembre 2022,False
France6 contributions,une bonne expériance,4,une bonne expériance,févr. 2022,,décembre 2022,False
France6 contributions,a refaire!,4,a refaire!,févr. 2022,,décembre 2022,True
Gran Canaria Espagne1 434 contributions,Moins de magie qu’avant attractions vieillissantes,3,Moins de magie qu’avant attractions vieillissantes,nov. 2022,,décembre 2022,True
Nantes France8 contributions,Parc Disneyland,5,Parc Disneyland,déc. 2022, En famille,décembre 2022,False
1 contribution,superbe,5,superbe,déc. 2022, Entre amis,décembre 2022,False
1 contribution,Noël magique,5,Noël magique,déc. 2022, En famille,décembre 2022,False
Condé-sur-Vire France1 contribution,Adieu,1,Adieu,,,décembre 2022,False
Rhodes Grèce4 contributions,Un séjour décevant,1,Un séjour décevant,déc. 2022,,décembre 2022,False
Merlevenez France137 contributions,Parcs vieillissants,2,Parcs vieillissants,déc. 2022, En famille,décembre 2022,False
2 contributions,Tellement déçus,2,Tellement déçus,déc. 2022, En famille,décembre 2022,True
1 contribution,Le parc le plus beau… mais....,4,Le parc le plus beau… mais....,déc. 2022,,décembre 2022,False
Cannes France1 contribution,Séjour en famille 11 personnes au NewYork hôtel - Art of Marvel.,5,Séjour en famille 11 personnes au NewYork hôtel - Art of Marvel.,déc. 2022, En famille,décembre 2022,False
4 contributions,ATTRACTIONS EN PANNE,2,ATTRACTIONS EN PANNE,déc. 2022, En famille,décembre 2022,False
69 contributions,Beau mais cher (vous vous en doutez),3,Beau mais cher (vous vous en doutez),déc. 2022,,décembre 2022,False
2 contributions,Vole manifeste très déçu,1,Vole manifeste très déçu,déc. 2022, En famille,décembre 2022,True
1 contribution,très bon moment,5,très bon moment,déc. 2022, En famille,décembre 2022,False
Athis-Mons France4 contributions,Déception,2,Déception,déc. 2022, En famille,décembre 2022,False
2 contributions,L'esprit disney a disparu !,3,L'esprit disney a disparu !,,,décembre 2022,False
3 contributions,Déception,3,Déception,déc. 2022, En famille,décembre 2022,False
12 contributions,très belle expérience en famille,5,très belle expérience en famille,déc. 2022, En famille,décembre 2022,False
4 contributions,Disneyland en petit résumé,5,Disneyland en petit résumé,janv. 2022, En famille,décembre 2022,True
2 contributions,👍,4,👍,déc. 2022, En famille,décembre 2022,False
2 contributions,La magie et mes rêves d'enfants sont morts,2,La magie et mes rêves d'enfants sont morts,déc. 2022, En couple,décembre 2022,False
1 contribution,Dis.. MOneyland Paris... ,1,Dis.. MOneyland Paris... ,,,décembre 2022,False
