pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
14 contributions,Ne vaut pas le détour,1,Ne vaut pas le détour,déc. 2022, En famille,Écrit le 3 décembre 2022,False
4 contributions,encore beaucoup de monde,3,encore beaucoup de monde,nov. 2022, En famille,Écrit le 30 novembre 2022,False
1 contribution,Bien mais pourrais étre beaucoup mieux !,3,Bien mais pourrais étre beaucoup mieux !,nov. 2022, En famille,Écrit le 22 novembre 2022,False
1 contribution,visite à studio,5,visite à studio,nov. 2022, En famille,Écrit le 21 novembre 2022,False
3 contributions,voir avis,3,voir avis,déc. 2021,,Écrit le 12 novembre 2022,False
Gap France14 contributions,C'est plus ce que s'était ,1,C'est plus ce que s'était ,nov. 2022, En famille,Écrit le 6 novembre 2022,False
Gourdan-Polignan France42 contributions,Décevant,3,Décevant,nov. 2022,,Écrit le 5 novembre 2022,False
Aire-sur-la-Lys France1 contribution,Trop de monde,2,Trop de monde,nov. 2022, En famille,Écrit le 4 novembre 2022,False
Salles d'Aude France149 contributions,Beaucoup trop de monde !,3,Beaucoup trop de monde !,oct. 2022,,Écrit le 2 novembre 2022,False
Genève Suisse76 contributions,C'etait mieux avant les pass premium!,1,C'etait mieux avant les pass premium!,oct. 2022, En famille,Écrit le 19 octobre 2022,False
Paris France265 contributions,Super !,5,Super !,oct. 2022, En famille,Écrit le 9 octobre 2022,True
Thimister-Clermont Belgium4 contributions,Très belle découverte,4,Très belle découverte,oct. 2022, En famille,Écrit le 6 octobre 2022,False
1 contribution,Un peu déçu,3,Un peu déçu,sept. 2022, En famille,Écrit le 2 octobre 2022,False
Seraing Belgique49 contributions,pas mal du tout,4,pas mal du tout,sept. 2022,,Écrit le 2 octobre 2022,False
Broc Suisse117 contributions,Les spectacles au top! Les attractions avec trop longue attente!,4,Les spectacles au top! Les attractions avec trop longue attente!,sept. 2022, En famille,Écrit le 30 septembre 2022,False
Cavaillon France219 contributions,Campus Marvel moyen,3,Campus Marvel moyen,sept. 2022, En couple,Écrit le 24 septembre 2022,False
Saint Sulpice Suisse12 contributions,bien mais le premium pass ne fonctionne pas pour avenger,4,bien mais le premium pass ne fonctionne pas pour avenger,août 2022,,Écrit le 13 septembre 2022,False
Athènes Grèce2 contributions,Beaucoup de monde,1,Beaucoup de monde,sept. 2022, En famille,Écrit le 9 septembre 2022,False
le mans15 contributions,parfait...mais,5,parfait...mais,sept. 2022, En couple,Écrit le 9 septembre 2022,False
Marseille France1 144 contributions,Même Direction que La PARC DE Los Angeles,3,Même Direction que La PARC DE Los Angeles,sept. 2022,,Écrit le 8 septembre 2022,True
Paris France74 contributions,La magie a disparu,3,La magie a disparu,août 2022,,Écrit le 2 septembre 2022,False
33 contributions,Zéro pointé pour le parc Avengers campus,2,Zéro pointé pour le parc Avengers campus,août 2022, En famille,Écrit le 30 août 2022,True
France9 contributions,Que dire de ce nouveau land Avengers Campus,3,Que dire de ce nouveau land Avengers Campus,août 2022,,Écrit le 13 août 2022,False
42 contributions,déçu,3,déçu,nov. 2021,,Écrit le 12 août 2022,False
12 contributions,Marvel et cie…,3,Marvel et cie…,août 2022, En famille,Écrit le 12 août 2022,True
Thoiry France239 contributions,Qualité/ prix mediocre,1,Qualité/ prix mediocre,août 2022, En famille,Écrit le 11 août 2022,False
361 contributions,Bien  mais....,4,Bien  mais....,août 2022, En famille,Écrit le 11 août 2022,True
Lyon France326 contributions,On adore!,5,On adore!,juil. 2022, En famille,Écrit le 7 août 2022,False
2 contributions,Disney oui !!! mais demander à Picsou de baisser les prix...,4,Disney oui !!! mais demander à Picsou de baisser les prix...,juil. 2022, En famille,Écrit le 23 juillet 2022,False
France2 contributions,Oui MAIS!,3,Oui MAIS!,juil. 2022, En famille,Écrit le 12 juillet 2022,False
1 contribution,Excellent séjour au séquoia lodge à Eurodisney               Tout était parfait notre visite dans les deux Parks 👍,5,Excellent séjour au séquoia lodge à Eurodisney               Tout était parfait notre visite dans les deux Parks 👍,juil. 2022, En famille,Écrit le 4 juillet 2022,True
1 contribution,Pas à la hauteur,3,Pas à la hauteur,juil. 2022, En famille,Écrit le 4 juillet 2022,False
2 contributions,Top,5,Top,juin 2022, En famille,Écrit le 23 juin 2022,False
Paris France1 contribution,Parfait !,5,Parfait !,juin 2022, En famille,Écrit le 18 juin 2022,False
Toulouse France74 contributions,Pas mal,3,Pas mal,mai 2022,,Écrit le 9 juin 2022,False
Rumilly France5 contributions,Déplorable Disney,2,Déplorable Disney,juin 2022, En famille,Écrit le 9 juin 2022,False
2 contributions,Où est passé la magie Disney ?,1,Où est passé la magie Disney ?,mai 2022,,Écrit le 27 mai 2022,False
Paris France265 contributions,Super mais ..,4,Super mais ..,mai 2022, En couple,Écrit le 25 mai 2022,False
Saint-Jean-de-Maurienne France63 contributions,super parc !!!,5,super parc !!!,mai 2022,,Écrit le 23 mai 2022,False
Briançon France16 contributions,Attente interminable en semaine. Pannes à répétition... ,2,Attente interminable en semaine. Pannes à répétition... ,mai 2022, En famille,Écrit le 23 mai 2022,False
Marseille France6 contributions,de découverte en découverte,5,de découverte en découverte,mai 2022,,Écrit le 22 mai 2022,False
15 contributions,Très beau parc,5,Très beau parc,mai 2022, En famille,Écrit le 16 mai 2022,False
2 contributions,Tout est fermé en ce moment,1,Tout est fermé en ce moment,mai 2022, En couple,Écrit le 14 mai 2022,False
1 contribution,Très Sympa,4,Très Sympa,mai 2022, En famille,Écrit le 12 mai 2022,False
Vichy France4 contributions,Parc correct mais attitude honteuse et inacceptable du personnel,1,Parc correct mais attitude honteuse et inacceptable du personnel,avr. 2022,,Écrit le 1 mai 2022,False
France29 contributions,Studio 🎙 ,5,Studio 🎙 ,avr. 2022, En famille,Écrit le 1 mai 2022,False
Hesingue France25 contributions,Beau parc d'attraction mais trop de monde,3,Beau parc d'attraction mais trop de monde,avr. 2022, En famille,Écrit le 18 avril 2022,False
1 contribution,Honteux,1,Honteux,avr. 2022, En famille,Écrit le 18 avril 2022,False
Nice France32 contributions,Beau mais saturé.,3,Beau mais saturé.,avr. 2022, En famille,Écrit le 17 avril 2022,False
Marseille France16 contributions,Cool cool cool,5,Cool cool cool,avr. 2022,,Écrit le 16 avril 2022,False
8 contributions,bien,4,bien,avr. 2022,,Écrit le 9 avril 2022,False
Gien France111 contributions,HONTEUX : PARC PETIT LOOOONGUES ATTENTES ET BUSINESS A FOND,1,HONTEUX : PARC PETIT LOOOONGUES ATTENTES ET BUSINESS A FOND,avr. 2022,,Écrit le 5 avril 2022,False
Tartas Aquitaine France13 contributions,spectacle de la reine des neiges,3,spectacle de la reine des neiges,mars 2022,,Écrit le 1 avril 2022,False
Draveil France45 contributions,Une honte !,1,Une honte !,mars 2022, En famille,Écrit le 23 mars 2022,False
Niort France238 contributions,La magie s'est envolée,3,La magie s'est envolée,mars 2022,,Écrit le 20 mars 2022,False
Liège Belgique1 094 contributions,Même en semaine hors saison bcp de monde,3,Même en semaine hors saison bcp de monde,mars 2022, En couple,Écrit le 17 mars 2022,True
Faa'a Polynésie française3 contributions,Superbe,4,Superbe,mars 2022,,Écrit le 10 mars 2022,False
2 contributions,DERNIÈRE FOIS QUE JE VIENS !,1,DERNIÈRE FOIS QUE JE VIENS !,mars 2022, En couple,Écrit le 9 mars 2022,False
Paris France26 contributions,Merveilleux,5,Merveilleux,févr. 2022, En famille,Écrit le 26 février 2022,True
Bellerive-sur-Allier France49 contributions,un peu déçu,3,un peu déçu,févr. 2022,,Écrit le 17 février 2022,False
Genève Suisse173 contributions,Incroyable,5,Incroyable,oct. 2021,,Écrit le 14 février 2022,True
Landerneau France35 contributions,Dispensable,2,Dispensable,févr. 2022, En famille,Écrit le 12 février 2022,False
Suippes France111 contributions,Incontournable,5,Incontournable,févr. 2022, En famille,Écrit le 11 février 2022,False
Metz France49 contributions,Bof,3,Bof,déc. 2021, En famille,Écrit le 17 janvier 2022,False
Lyon France237 contributions,Parc à thème classique.,3,Parc à thème classique.,déc. 2021, En famille,Écrit le 4 janvier 2022,False
Guidel-Plage France1 contribution,Mauvaise expérience,1,Mauvaise expérience,déc. 2021, En famille,Écrit le 1 janvier 2022,True
